Iteration,Dispersion
0,1413.33495435514
1,1307.167808112745
2,1251.50382045176
3,1194.608732890951
4,1129.57553172187
5,1066.408778375531
6,1034.954858640444
7,997.77809526929
8,949.8296538988333
9,931.0118260849108
10,920.368696932353
11,915.4730327614518
12,913.0886749051001
13,911.5915531250848
14,909.6037545715363
15,906.6819937912846
16,903.3057052846183
17,899.671802554604
18,897.1938131525121
19,895.633391415703
20,894.4210607088744
21,893.1186004473525
22,890.8907279776548
23,888.4501071866187
24,886.7747941414968
25,885.4740083016269
26,883.9426978814967
27,881.953296118802
28,879.9842744773824
29,877.8738745417097
30,876.5325212484746
31,875.9293316915671
32,875.7406908496806
33,875.6791049440403
34,875.6408733780603
35,875.5941642867373
36,875.5418126356531
37,875.4915226799432
38,875.4597043266959
39,875.437093942013
40,875.4168584140481
41,875.4017932697544
42,875.394644869571
43,875.3926493386306
44,875.392255843497
45,875.3921570696305
46,875.3921251447284
47,875.3921231479228
