Iteration,Dispersion
0,1293.643526675587
1,1109.447893061453
2,1038.707175930753
3,1018.535682144076
4,1008.822084855058
5,995.0067655983665
6,980.9532572493802
7,972.9854199872926
8,968.1776728631878
9,960.0607767326045
10,947.3904591115011
11,930.3444924465581
12,912.5501297389585
13,901.6039389737583
14,897.6066333502371
15,895.7634172907734
16,895.080517588656
17,894.6947381207001
18,894.4313372374576
19,894.2728717948193
20,894.1691269038109
21,894.1198433006404
22,894.0869833247433
23,894.0623439978132
24,894.0151976544138
25,893.8291426295115
26,893.2729171763185
27,892.4162521286656
28,891.1570158690107
29,888.9954000461571
30,885.0623541217752
31,881.9931323493636
32,879.7026384493734
33,876.7100393274391
34,868.6735163522923
35,864.6678832129695
36,862.7201168189509
37,861.1198606145766
38,859.6383141086611
39,858.7051508585417
40,858.2339190519154
41,858.0128987617297
42,857.9200330685405
43,857.8413356619311
44,857.786801766958
45,857.7432152982309
46,857.7163639393208
47,857.7052403814505
48,857.7026301753482
49,857.7018289037217
50,857.701597069086
51,857.7015228081552
52,857.7015097214113
53,857.7015008302276
54,857.7014985561573
55,857.7014985167746
