Latitude,Longitude
-71.3843,41.8298
-71.3442,41.7438
-71.3215,41.75
-71.3023,41.7557
-71.2744,41.7187
-71.5254,41.7246
-71.7422,41.6913
-71.4571,41.6546
-71.4135,41.7466
-71.3811,41.681
-71.4206,41.6937
-71.2348,41.632
-71.2843,41.5343
-71.3038,41.4816
-71.323,41.5147
-71.3886,41.7928
-71.4159,41.8058
-71.426,41.8238
-71.4317,41.7933
-71.4487,41.8355
-71.4268,41.8294
-71.3988,41.8441
-71.3843,41.8298
-71.3791,41.8088
-71.3403,41.7738
-71.5376,41.8283
-71.371,41.7221
-71.375,41.7005
-71.4001,41.6951
-71.3958,41.7089
-71.4416,41.7073
-71.4233,41.7109
-71.4461,41.6905
-71.4634,41.7153
-71.467,41.6783
-71.4882,41.6871
-71.4875,41.7154
-71.4379,41.6527
-71.4286,41.7228
-71.2458,41.5601
-71.2941,41.5977
-71.3083,41.532
-71.2983,41.5112
-71.2992,41.5435
-71.2641,41.5064
-71.3127,41.5075
-71.3069,41.4988
-71.299,41.4924
-71.3295,41.4635
-71.3148,41.4823
-71.3274,41.4933
-71.3773,41.5139
-71.1649,41.5157
-71.1889,41.6667
-71.1996,41.6406
-71.1629,41.643
-71.1724,41.5872
-71.3155,41.5398
-71.4123,41.784
-71.4192,41.7945
-71.4246,41.8036
-71.5001,41.8514
-71.485,41.8266
-71.4798,41.8118
-71.3959,41.7811
-71.4446,41.797
-71.462,41.7934
-71.3759,41.8901
-71.3465,41.883
-71.3449,41.8702
-71.4325,41.6347
-71.8265,41.3838
-71.507,41.4522
-71.5311,41.4913
-71.4092,41.606
-71.3081,41.7261
-71.2811,41.7313
-71.2569,41.7305
-71.274,41.6724
-71.2582,41.6627
-71.253,41.6937
-71.284,41.686
-71.5145,41.6895
-71.5205,41.7026
-71.5283,41.7091
-71.5029,41.7231
-71.5539,41.716
-71.5741,41.6913
-71.5581,41.6714
-71.5446,41.6945
-71.6576,41.6907
-71.6044,41.7027
-71.667,41.6292
-71.5175,41.6328
-71.4788,41.6419
-71.4128,41.7592
-71.3937,41.7572
-71.4324,41.7438
-71.3879,41.7396
-71.4099,41.722
-71.3958,41.7248
-71.4627,41.8523
-71.4756,41.847
-71.5035,41.7978
-71.5561,41.8688
-71.7336,41.8934
-71.6269,41.8934
-71.5791,41.7908
-71.6385,41.7933
-71.3882,41.7706
-71.4183,41.7688
-71.4291,41.7787
-71.4427,41.7755
-71.4384,41.7666
-71.4507,41.7593
-71.4449,41.7831
-71.462,41.7422
-71.4623,41.7728
-71.4717,41.7528
-71.5038,41.766
-71.4797,41.7708
-71.5264,41.7575
-71.4863,41.7866
-71.4137,41.8756
-71.3995,41.8776
-71.3856,41.8794
-71.3718,41.8874
-71.3639,41.8924
-71.3594,41.8889
-71.3468,41.8935
-71.41,41.7988
-71.404,41.8087
-71.4172,41.8137
-71.4137,41.8244
-71.4348,41.8193
-71.4255,41.8196
-71.4259,41.8136
-71.4359,41.8128
-71.4345,41.8064
-71.4474,41.8118
-71.4584,41.8087
-71.4614,41.8165
-71.4451,41.8214
-71.463,41.831
-71.4499,41.8287
-71.4376,41.8299
-71.4377,41.8375
-71.4502,41.8432
-71.4222,41.8368
-71.4261,41.8448
-71.418,41.8513
-71.4085,41.8371
-71.4013,41.8512
-71.3841,41.8447
-71.3968,41.8286
-71.4042,41.8288
-71.3951,41.8183
-71.3632,41.848
-71.3467,41.8443
-71.3713,41.8261
-71.3543,41.8199
-71.3507,41.8019
-71.3544,41.7871
-71.3656,41.7597
-71.347,41.7628
-71.3872,41.8863
-71.3886,41.8944
-71.3973,41.8913
-71.4877,41.4462
-71.5584,41.3897
-71.5664,41.4141
-71.4806,41.4779
-71.5664,41.4717
-71.4362,41.4758
-71.4666,41.4224
-71.4934,41.3944
-71.5696,41.2269
-71.5156,41.6731
-71.4017,41.8867
-71.4108,41.8657
-71.7357,41.7891
-71.3594,41.8832
-71.3757,41.883
-71.3931,41.8733
-71.399,41.8634
-71.3901,41.8609
-71.3829,41.8647
-71.3781,41.8722
-71.3597,41.875
-71.3542,41.864
-71.37,41.8673
-71.5785,41.1779
-71.4726,41.5943
-71.4412,41.6086
-71.4873,41.5743
-71.4543,41.5619
-71.4925,41.5301
-71.4413,41.5264
-71.6312,41.5658
-71.6608,41.4983
-71.7538,41.4781
-71.8239,41.3559
-71.8026,41.3844
-71.7655,41.3656
-71.796,41.3297
-71.6847,41.3932
-71.6251,41.4101
