lon0,lat0,lon1,lon0,distance
41.7438,-71.3442,41.686,-71.284,12471
41.7438,-71.3442,41.7528,-71.4717,28466
41.75,-71.3215,41.686,-71.284,10371
41.75,-71.3215,41.7528,-71.4717,27292
41.7557,-71.3023,41.686,-71.284,9996
41.7557,-71.3023,41.7528,-71.4717,27888
41.7187,-71.2744,41.686,-71.284,5111
41.7187,-71.2744,41.7528,-71.4717,34033
41.7246,-71.5254,41.686,-71.284,43505
41.7246,-71.5254,41.7528,-71.4717,7655
41.6913,-71.7422,41.686,-71.284,71027
41.6913,-71.7422,41.7528,-71.4717,38559
41.6546,-71.4571,41.686,-71.284,47406
41.6546,-71.4571,41.7528,-71.4717,14938
41.7466,-71.4135,41.686,-71.284,36476
41.7466,-71.4135,41.7528,-71.4717,7867
41.681,-71.3811,41.686,-71.284,44879
41.681,-71.3811,41.7528,-71.4717,15059
41.6937,-71.4206,41.686,-71.284,42130
41.6937,-71.4206,41.7528,-71.4717,10241
41.632,-71.2348,41.686,-71.284,12537
41.632,-71.2348,41.7528,-71.4717,51918
41.5343,-71.2843,41.686,-71.284,20700
41.5343,-71.2843,41.7528,-71.4717,49039
41.4816,-71.3038,41.686,-71.284,27328
41.4816,-71.3038,41.7528,-71.4717,45666
41.5147,-71.323,41.686,-71.284,26101
41.5147,-71.323,41.7528,-71.4717,44428
41.7928,-71.3886,41.686,-71.284,28350
41.7928,-71.3886,41.7528,-71.4717,13662
41.8058,-71.4159,41.686,-71.284,26735
41.8058,-71.4159,41.7528,-71.4717,14210
41.8238,-71.426,41.686,-71.284,28135
41.8238,-71.426,41.7528,-71.4717,15588
41.7933,-71.4317,41.686,-71.284,31559
41.7933,-71.4317,41.7528,-71.4717,10172
41.8355,-71.4487,41.686,-71.284,30682
41.8355,-71.4487,41.7528,-71.4717,15608
41.8294,-71.4268,41.686,-71.284,28252
41.8294,-71.4268,41.7528,-71.4717,14561
41.8441,-71.3988,41.686,-71.284,30969
